Player,DeDuelTotal,DeDuelTotal_Score,DefendRate,Duel_Score,Touch,Touch_Score,Clearance,Clearance_Score,Defend_Score
Huskies_G1,5,40.175438596491226,0.19999999999999996,40.0,0,40.0,17,49.44444444444444,41
Huskies_F1,88,54.73684210526316,0.3522727272727273,68.68393234672305,2,45.0,11,46.111111111111114,58
Huskies_D1,189,72.4561403508772,0.36507936507936506,71.09634551495017,24,100.0,108,100.0,80
Huskies_M1,346,100.0,0.40173410404624277,78.00107541336202,7,57.5,18,50.0,75
Huskies_F2,148,65.26315789473685,0.36486486486486486,71.05593966059082,6,55.0,21,51.666666666666664,64
Huskies_D2,150,65.6140350877193,0.4066666666666667,78.93023255813955,17,82.5,103,97.22222222222223,79
Huskies_M2,18,42.45614035087719,0.3888888888888889,75.58139534883722,0,40.0,1,40.55555555555556,56
Huskies_M3,219,77.71929824561403,0.3470319634703196,67.696718700223,6,55.0,30,56.66666666666667,66
Huskies_D3,143,64.3859649122807,0.32167832167832167,62.920800130102464,19,87.5,102,96.66666666666666,72
Huskies_D4,106,57.89473684210526,0.20754716981132076,41.42167617376043,5,52.5,35,59.44444444444444,50
Huskies_F3,8,40.70175438596491,0.25,49.418604651162795,1,42.5,0,40.0,44
Huskies_D5,202,74.73684210526315,0.3712871287128713,72.2657149435874,3,47.5,72,80.0,71
Huskies_M4,151,65.78947368421052,0.304635761589404,59.710457415678434,5,52.5,12,46.666666666666664,57
Huskies_M5,5,40.175438596491226,0.4,77.67441860465118,0,40.0,0,40.0,56
Huskies_D6,108,58.24561403508772,0.2962962962962963,58.139534883720934,5,52.5,52,68.88888888888889,59
Huskies_M6,168,68.7719298245614,0.2619047619047619,51.66112956810632,5,52.5,24,53.33333333333333,56
Huskies_M7,5,40.175438596491226,0.4,77.67441860465118,2,45.0,0,40.0,57
Huskies_M8,74,52.280701754385966,0.3783783783783784,73.60150848522943,1,42.5,0,40.0,58
Huskies_M9,50,48.07017543859649,0.2,40.00000000000001,0,40.0,1,40.55555555555556,42
Huskies_F4,54,48.771929824561404,0.5185185185185185,100.0,1,42.5,4,42.22222222222222,69
Huskies_D7,170,69.12280701754386,0.22941176470588234,45.54035567715459,6,55.0,57,71.66666666666667,57
Huskies_M10,25,43.68421052631579,0.24,47.53488372093024,0,40.0,1,40.55555555555556,44
Huskies_M11,30,44.56140350877193,0.26666666666666666,52.55813953488373,1,42.5,1,40.55555555555556,47
Huskies_M12,47,47.54385964912281,0.40425531914893614,78.47600197921821,0,40.0,10,45.55555555555556,60
Huskies_M13,21,42.98245614035088,0.38095238095238093,74.08637873754154,1,42.5,3,41.666666666666664,56
Huskies_F5,47,47.54385964912281,0.44680851063829785,86.49183572488866,2,45.0,10,45.55555555555556,64
Huskies_F6,79,53.1578947368421,0.27848101265822783,54.783632617015016,0,40.0,10,45.55555555555556,51
Huskies_D8,65,50.70175438596491,0.26153846153846155,51.59212880143114,10,65.0,12,46.666666666666664,51
Huskies_D9,4,40.0,0.35,68.25581395348837,0,40.0,5,42.77777777777778,53
Huskies_D10,6,40.35087719298246,0.5,96.51162790697674,1,42.5,8,44.44444444444444,66
